ii i
ii0 i0
ii1 i1
ii2 i2
iy I
iy0 I0
iy1 I1
iy2 I2
e E
e0 E0
e1 E1
e2 E2
a @
a0 @0
a1 @1
a2 @2
aa A
aa0 A0
aa1 A1
aa2 A2
o >
o0 >0
o1 >1
o2 >2
uo U
uo0 U0
uo1 U1
uo2 U2
u u
u0 u0
u1 u1
u2 u2
h w_0* 
ah &
ah0 &0
ah1 &1
ah2 &2
uh ^
uh0 ^0
uh1 ^1
uh2 ^2
ur 3r
ur0 3r0
ur1 3r1
ur2 3r2
ei eI
ei0 eI0
ei1 eI1
ei2 eI2
oi >I
oi0 >I0
oi1 >I1
oi2 >I2
ai aI
ai0 aI0
ai1 aI1
ai2 aI2
au aU
au0 aU0
au1 aU1
au2 aU2
ou oU
ou0 oU0
ou1 oU1
ou2 oU2
p  p
t  t
k  k
b  b
d  d
s  s
z  z
g  g
f  f
v  v
th T
dh D
sh S
zh Z
h h
tj tS
dj dZ
l  l
r  9
j  j
w  w
m  m
n  n
ng ng
- ?
b  b_c
d  d_c
g  g_c
k  k_c
k  k_h
p  p_c
p  p_h
t  t_c
t  t_h
h  h_v
ns  n=
ms  m=
n  n_(
r  9=
r  9_0
j  j_0
ls  l=
l  l_0
w  w_0
t  t_(
l  l_2
